category_id;name;parentId
3295;'Акции и скидки!';0
3423;'Тачка в каждый сад';3295
3422;'Выгодный полив';3295
3421;'Сварочные аппараты';3295
3418;'Удар по ценам';3295
3417;'Акция на мойки';3295
3416;'Качаем выгоду';3295
3415;'Скидки на правила';3295
3414;'Косим цены';3295
3381;'Круги по суперценам';3295
3330;'Шлифуем цену';3295
3340;'Средства индивидуальной защиты';0
3342;'Маски защитные';3340
3343;'Перчатки защитные';3340
3344;'Очки защитные';3340
3345;'Комбинезоны и бахилы защитные';3340
3346;'Щитки защитные';3340
3341;'Товары первой необходимости';0
3351;'Антисептики';3341
3350;'Мыло';3341
3360;'Туалетная бумага';3341
3359;'Свечи';3341
3361;'Бумажные салфетки';3341
3349;'Салфетки из микрофибры';3341
20;'Слесарный инструмент';0
21;'Биты';20
474;'Адаптеры и переходники';21
475;'Биты наборы';21
2235;'Биты наборы в кейсе';475
2234;'Биты с торцевыми головками';21
352;'Бокорезы, кусачки';20
66;'Воротки, удлинители, переходники';20
67;'Воротки';66
372;'Переходники';66
371;'Удлинители';66
370;'Шарниры карданные';66
3291;'Выколотки';20
3155;'Головки сменные';20
22;'Головки торцевые';3155
3158;'Головки удлиненные';3155
3156;'Головки ударные';3155
3159;'Головки свечные';3155
3157;'Головки с битой';3155
3160;'Головки многоразмерные';3155
509;'Длинногубцы';20
1847;'Длинногубцы изогнутые';509
1846;'Длинногубцы прямые';509
1848;'Длинногубцы, двойной рычажный механизм';509
25;'Зажимы с фиксатором';20
26;'Зубила';20
75;'Инструменты для зачистки и обжима';20
3288;'Клейма ударные';20
27;'Киянки';20
3383;'Киянки резиновые с фибергласовой рукояткой';27
3382;'Киянки деревянные с деревянной рукояткой';27
353;'Клещи';20
29;'Клещи переставные';353
28;'Клещи торцевые';353
349;'Ключи';20
30;'Ключи баллонные';349
31;'Ключи динамометрические';349
564;'Ключи для патрона от дрели';349
32;'Ключи имбусовые';349
34;'Ключи кольцевые ударные';349
35;'Ключи комбинированные';349
567;'Ключи комбинированные трещоточные';349
568;'Ключи комбинированные трещоточные, шарнирные';349
37;'Ключи накидные';349
570;'Ключи накидные трещоточные';349
3027;'Ключи шарнирные';349
39;'Ключи прокачные';349
40;'Ключи разводные';349
41;'Ключи рожковые';349
43;'Ключи свечные';349
1849;'Ключи торцевые ступичные';349
46;'Ключи трубные рычажные';349
1850;'Ключи угловые';349
47;'Ключи-трещотки';349
44;'Ключи-трубки торцевые';349
755;'Ремонтные наборы для трещоток';349
72;'Круглогубцы';20
724;'Крюки для слесарных работ';20
54;'Кувалды';20
1853;'Кувалды с деревянной рукояткой';54
1852;'Кувалды с фибергласовой рукояткой';54
1851;'Рукоятки для кувалды';54
350;'Молотки';20
52;'Молотки рихтовочные';350
48;'Молотки с деревянной рукояткой';350
49;'Молотки с фибергласовой рукояткой';350
53;'Молотки специальные';350
50;'Молотки цельнокованые';350
51;'Молотки-гвоздодеры';350
1854;'Рукоятки для молотка';350
69;'Наборы инструмента';20
57;'Надфили';20
369;'Напильники';20
56;'Напильники (наборы)';369
378;'Напильники квадратные';369
376;'Напильники круглые';369
375;'Напильники плоские';369
55;'Напильники полукруглые';369
377;'Напильники трехгранные';369
373;'Ручки для напильников';369
351;'Отвертки';20
1184;'Отвертки SL';351
1191;'Отвертки PH';351
1190;'Отвертки PZ';351
1188;'Отвертки комбинированные';351
1187;'Отвертки реверсивные';351
1183;'Ударные отвертки';351
1185;'Отвертки Т-образные';351
1189;'Отвертки для точных работ';351
61;'Отвертки - пробники';351
1192;'Отвертки диэлектрические';351
1186;'Отвертки с набором бит';351
60;'Отвертки (наборы)';351
